nr,SessionID,Activity,Trial,ROI start,ROI end,Notes
TRT_SIM_P07,e7a7ac94-a977-4e35-8837-8775667eb302,nrc,l1,,,C/R Synced
,,nrc,l2,9.05,9.49,
,,nrc,l3,5.78,6.23,
,,nrc,r1,7.15,7.60,left camera glitch but synced
,,nrc,r2,6.29,6.70,
,,nrc,r3,5.87,6.29,
,,nsdj,l1,5.52,5.99,
,,nsdj,l2,5.67,6.17,
,,nsdj,l3,5.50,6.04,
,,nsdj,r1,6.35,6.95,
,,nsdj,r2,5.05,5.64,
,,nsdj,r3,4.55,5.13,
,,crc,l1,6.58,7.20,
,,crc,l2,5.96,6.55,
,,crc,l3,6.14,6.76,
,,crc,r1,6.63,7.30,
,,crc,r2,6.63,7.48,
,,crc,r3,6.06,6.95,
,,csdj,l1,6.17,6.89,
,,csdj,l2,5.13,5.82,
,,csdj,l3,5.30,5.98,
,,csdj,r1,5.84,6.68,
,,csdj,r2,5.29,6.03,
,,csdj,r3,5.04,5.75,
TRT_SIM_S01,c3e8f9b7-2790-4250-9266-fd98e2b67b66,nrc,l1,5.94,6.31,
,,nrc,l2,5.70,6.09,
,,nrc,l3,,,videos not synced - blip
,,nrc,r1,,,L/R Synced
,,nrc,r2,,,C/L Synced
,,nrc,r3,6.04,6.49,
,,nsdj,l1,6.10,6.53,
,,nsdj,l2,,,massive blip
,,nsdj,l3,6.03,6.47,
,,nsdj,r1,,,C/R Synced
,,nsdj,r2,5.49,5.93,
,,nsdj,r3,6.24,6.68,
v2,d14677bc-6c7d-4782-9403-c636ef2a7cae,nrc,l1,,,C/R Synced
,,nrc,l2,6.42,6.74,
,,nrc,l3,,,L/C Synced
,,nrc,r1,,,videos not synced
,,nrc,r1_1,6.11,6.47,
,,nrc,r2,6.34,6.71,
,,nrc,r3,6.26,6.65,
,,nsdj,l1,6.14,6.53,
,,nsdj,l2,5.50,5.90,
,,nsdj,l3,6.03,6.41,
,,nsdj,r1,6.10,6.54,
,,nsdj,r2,5.80,6.20,
,,nsdj,r3,5.72,6.12,
,,crc,l1,5.45,6.11,
,,crc,l2,6.04,6.69,
,,crc,l3,,,L/C Synced
,,crc,r1,6.19,6.92,
,,crc,r2,,,no cut
,,crc,r2_1,,,blip everywhere but cut
,,crc,r3,,,blip everywhere but cut (C/R)
,,csdj,l1,7.01,7.69,
,,csdj,l2,6.10,6.79,
,,csdj,l3,6.70,7.40,
,,csdj,r1,5.55,6.21,
,,csdj,r2,5.81,6.48,
,,csdj,r3,6.27,6.95,
TRT_SIM_02,584ca5d8-3dfc-4b12-b389-fecf017ff790,nrc,l1,,,not synced
,,nrc,l2,5.74,6.07,
,,nrc,l3,5.67,6.05,
,,nrc,r1,6.09,6.51,
,,nrc,r2,,,not synced
,,nrc,r2_1,5.93,6.33,
,,nrc,r3,5.56,6.03,
,,nsdj,l1,5.28,5.90,
,,nsdj,l2,5.69,6.35,
,,nsdj,l3,5.97,6.58,
,,nsdj,r1,8.50,9.24,
,,nsdj,r2,5.70,6.45,
,,nsdj,r3,5.25,5.93,
,4fb2d60a-09e0-430e-8177-d2d8082947d3,nrc,l1,,,only 2 cameras
,,nrc,l2,5.85,6.20,
,,nrc,l3,5.66,6.05,
,,nrc,r1,6.48,6.93,
,,nrc,r1_1,6.80,7.27,
,,nrc,r2,5.99,6.47,
,,nrc,r3,5.24,5.40,"*does 2 steps, wrote down both"
,,,r3,5.47,5.83,"*does 2 steps, wrote down both"
,,nsdj,l1,5.28,5.97,
,,nsdj,l2,5.28,5.97,
,,nsdj,l3,5.01,5.65,
,,nsdj,r1,5.05,5.80,
,,nsdj,r2,4.79,5.48,
,,nsdj,r3,4.55,5.28,
,,crc,l1,,,camera fell over
,,crc,r1,,,L/R Synced
,7302d2c7-f5ea-43f1-9c08-ed724615bf3c,crc,r1,,,L/R Synced
,,crc,r2,,,L/R Synced
,,crc,r3,6.47,7.02,
,,crc,l1,6.00,6.59,
,,crc,l2,6.46,6.99,
,,crc,l3,5.87,6.37,
,,csdj,l1,5.20,6.06,
,,csdj,l2,4.85,5.63,
,,csdj,l3,5.03,5.84,
,,csdj,r1,5.23,6.05,
,,csdj,r2,5.03,5.78,
,,csdj,r3,4.79,5.53,
TRT_SIM_S03,b1818626-1ab9-414a-a0b8-cf894dead900,nrc,l1,,,C/R Synced
,,nrc,l2,5.88,6.22,
,,nrc,l3,5.60,5.93,
,,nrc,r1,,,C/R Synced
,,nrc,r1_1,,,L/R Synced
,,nrc,r2,5.68,5.99,C is barely behind
,,nrc,r3,5.64,5.90,
,,nsdj,l1,5.88,6.34,
,,nsdj,l2,5.03,5.43,
,,nsdj,l3,4.63,5.05,
,,nsdj,r1,6.43,6.84,
,,nsdj,r2,5.35,5.86,
,,nsdj,r3,5.65,6.07,
,a1a44153-a5a3-46ce-be83-158c0c28c27d,nrc,l1,5.99,6.38,
,,nrc,l2,5.63,6.01,
,,nrc,l3,6.15,6.45,
,,nrc,r1,,,C/L Synced
,,nrc,r2,,,L/R Synced
,,nrc,r3,5.12,5.43,
,,nsdj,l1,4.90,5.30,
,,nsdj,l2,4.66,5.06,
,,nsdj,l3,4.75,5.17,
,,nsdj,r1,4.82,5.21,
,,nsdj,r2,5.02,5.38,
,,nsdj,r3,6.75,7.18,
,,crc,l1,5.72,6.13,
,,crc,l2,6.05,6.40,
,,crc,l3,5.85,6.36,
,,crc,r1,6.24,6.57,
,,crc,r2,5.84,6.34,
,,crc,r3,5.85,6.35,
,,csdj,l1,5.48,6.14,
,,csdj,l2,6.40,6.88,
,,csdj,l3,5.06,5.50,
,,csdj,r1,5.42,5.97,
,,csdj,r2,4.93,5.39,
,,csdj,r3,4.92,5.45,
TRT_SIM_S04,6d03bbe1-93ba-4001-829b-269d1d64d50a,nrc,l1,4.75,5.10,
,,nrc,l2,4.58,4.95,
,,nrc,l3,4.17,4.49,
,,nrc,r1,4.88,5.23,visual glitch in opencap. cant see if its synced. proceeded as if it was
,,nrc,r2,4.57,4.93,
,,nrc,r3,4.44,4.77,
,,nsdj,l1,3.75,4.28,
,,nsdj,l2,4.41,4.98,
,,nsdj,l3,3.88,4.41,
,,nsdj,r1,3.68,4.21,
,,nsdj,r2,3.79,4.34,
,,nsdj,r3,3.78,4.30,
,,nsdj,r3_1,3.83,4.29,
,8b35b045-0ced-4920-83d0-a30032d038ab,nrc,l1,3.98,4.30,
,,nrc,l2,4.94,5.25,
,,nrc,l3,4.36,4.63,
,,nrc,r1,4.40,4.78,
,,nrc,r2,4.60,5.00,
,,nrc,r3,4.28,4.65,
,,nsdj,l1,4.20,4.77,
,,nsdj,l2,4.40,4.90,
,,nsdj,l3,4.29,4.87,
,,nsdj,r1,4.41,5.05,
,,nsdj,r2,4.50,5.01,
,,nsdj,r3,4.61,5.16,
,,crc,l1,4.54,4.97,
,,crc,l2,4.46,4.80,
,,crc,l3,5.06,5.40,
,,crc,r1,4.33,4.70,
,,crc,r2,5.00,5.38,
,,crc,r3,,,L/R Synced
,,csdj,l1,4.55,5.20,
,,csdj,l2,4.40,5.08,
,,csdj,l3,4.57,5.32,
,,csdj,r1,4.31,4.97,
,,csdj,r2,4.56,5.24,
,,csdj,r3,4.73,5.41,
TRT_SIM_05,28761f96-bb2d-4f00-a345-917ba58ab594,nrc,l1,,,didnt process
,,nrc,l1_1,,,all slightly off
,,nrc,l2,,,all slightly off
,,nrc,l3,,,C/L Synced
,,nrc,r1,,,visual bug
,,nrc,r2,6.73,7.04,
,,nrc,r3,4.98,5.28,
,,nsdj,l1,3.58,4.00,
,,nsdj,l2,5.38,5.77,
,,nsdj,l3,4.50,4.91,
,,nsdj,r1,5.20,5.59,
,,nsdj,r2,4.72,5.11,
,,nsdj,r3,4.80,5.14,
,f90beb5f-3b96-4ce0-be23-aabbe38f87b5,nrc,l1,,,not synced
,,nrc,l2,4.87,5.23,
,,nrc,l3,,,not synced
,,nrc,r1,,,R/C Synced
,,nrc,r2,5.55,5.83,
,,nrc,r3,4.91,5.20,
,,nsdj,l1,4.71,5.10,
,,nsdj,l2,4.40,4.81,
,,nsdj,l3,4.25,4.64,
,,nsdj,r1,4.46,4.82,
,,nsdj,r2,4.58,4.97,
,,nsdj,r3,4.78,5.18,
,,nsdj,r3_1,4.22,4.60,
,,crc,l1,,,C/L synced
,,crc,l2,5.28,5.75,
,,crc,l3,,,C/R Synced
,,crc,r1,5.18,5.67,
,,crc,r2,5.33,5.80,
,,crc,r3,,,not synced
,,csdj,l1,4.72,5.32,
,,csdj,l2,4.60,5.11,
,,csdj,l3,4.61,5.13,
,,csdj,r1,4.61,5.19,
,,csdj,r2,5.07,5.63,
,,csdj,r3,4.46,5.03,
TRT_SIM_S06,573a3c89-7207-4c8c-ad18-24a3ff8aa57f,nrc,l1,4.82,5.19,
,,nrc,l2,,,not synced
,,nrc,l3,5.06,5.38,
,,nrc,r1,5.88,6.20,
,,nrc,r2,5.37,5.72,
,,nrc,r3,5.68,6.03,
,,nsdj,l1,4.69,5.05,
,,nsdj,l2,4.26,4.63,
,,nsdj,l3,4.29,4.67,
,,nsdj,r1,5.06,5.58,
,,nsdj,r1_1,4.54,4.92,
,,nsdj,r2,,,not synced
