nr,SessionID,Activity,Trial,ROI start,ROI end,Notes
TRT_SIM_P07,e7a7ac94-a977-4e35-8837-8775667eb302,nrc,l1,6.383,6.850,C/R Synced
,,nrc,l2,9.050,9.488,
,,nrc,l3,5.779,6.233,
,,nrc,r1,7.154,7.600,left camera glitch but synced
,,nrc,r2,6.287,6.704,
,,nrc,r3,5.867,6.287,
,,nsdj,l1,5.517,5.987,
,,nsdj,l2,5.667,6.171,
,,nsdj,l3,5.496,6.042,
,,nsdj,r1,6.346,6.946,
,,nsdj,r2,5.046,5.638,
,,nsdj,r3,4.554,5.125,
,,crc,l1,6.575,7.200,
,,crc,l2,5.958,6.554,
,,crc,l3,6.138,6.763,
,,crc,r1,6.629,7.296,
,,crc,r2,6.625,7.479,
,,crc,r3,6.062,6.954,
,,csdj,l1,6.167,6.888,
,,csdj,l2,5.125,5.817,
,,csdj,l3,5.296,5.976,
,,csdj,r1,5.842,6.679,
,,csdj,r2,5.292,6.029,
,,csdj,r3,5.037,5.746,
TRT_SIM_S01,c3e8f9b7-2790-4250-9266-fd98e2b67b66,nrc,l1,5.942,6.305,
,,nrc,l2,5.700,6.088,
,,nrc,l3,,,videos not synced - blip
,,nrc,r1,5.758,6.142,L/R Synced
,,nrc,r2,5.071,5.517,C/L Synced
,,nrc,r3,6.037,6.492,
,,nsdj,l1,6.104,6.533,
,,nsdj,l2,,,massive blip
,,nsdj,l3,6.033,6.471,
,,nsdj,r1,5.050,5.463,C/R Synced
,,nsdj,r2,5.487,5.925,
,,nsdj,r3,6.237,6.679,
v2,d14677bc-6c7d-4782-9403-c636ef2a7cae,nrc,l1,6.438,6.787,C/R Synced
,,nrc,l2,6.417,6.742,
,,nrc,l3,6.725,7.121,L/C Synced
,,nrc,r1,,,videos not synced
,,nrc,r1_1,6.108,6.467,
,,nrc,r2,6.342,6.708,
,,nrc,r3,6.258,6.650,
,,nsdj,l1,6.138,6.525,
,,nsdj,l2,5.496,5.900,
,,nsdj,l3,6.029,6.408,
,,nsdj,r1,6.100,6.542,
,,nsdj,r2,5.804,6.196,
,,nsdj,r3,5.717,6.121,
,,crc,l1,5.448,6.108,
,,crc,l2,6.042,6.688,
,,crc,l3,5.992,6.662,L/C Synced
,,crc,r1,6.192,6.921,
,,crc,r2,,,no cut
,,crc,r2_1,6.304,6.983,blip everywhere but cut
,,crc,r3,6.004,6.633,blip everywhere but cut (C/R)
,,csdj,l1,7.013,7.685,
,,csdj,l2,6.096,6.787,
,,csdj,l3,6.704,7.396,
,,csdj,r1,5.554,6.213,
,,csdj,r2,5.808,6.475,
,,csdj,r3,6.271,6.946,
TRT_SIM_02,584ca5d8-3dfc-4b12-b389-fecf017ff790,nrc,l1,,,not synced
,,nrc,l2,5.742,6.071,
,,nrc,l3,5.667,6.046,
,,nrc,r1,6.088,6.513,
,,nrc,r2,,,not synced
,,nrc,r2_1,5.933,6.325,
,,nrc,r3,5.562,6.029,
